Results from heasarc_fermigbrst: Fermi GBM Burst Catalog
Coordinate system: Equatorial
|name        |ra        |dec      |trigger_time           |
|GRB081206987|03 37 12.0|-08 36 00|2008-12-06 23:41:50.469|
|GRB081207680|07 29 36.0|+70 30 00|2008-12-07 16:18:46.936|
|GRB081209981|03 01 12.0|+63 30 00|2008-12-09 23:31:56.389|
|GRB081213173|00 51 36.0|-33 54 00|2008-12-13 04:09:41.636|
|GRB081215784|08 22 24.0|+54 00 00|2008-12-15 18:48:36.846|
|GRB081215880|15 14 24.0|-50 42 00|2008-12-15 21:06:53.040|
|GRB081216531|08 36 48.0|+07 36 00|2008-12-16 12:43:59.994|
|GRB081217983|07 47 12.0|+26 48 00|2008-12-17 23:34:49.015|
|GRB081221681|01 03 12.0|-24 30 00|2008-12-21 16:21:12.218|
|GRB081222204|01 30 48.0|-34 06 00|2008-12-22 04:54:00.256|
|GRB081223419|07 30 00.0|+33 12 00|2008-12-23 10:03:57.148|
|GRB081224887|13 26 48.0|+75 06 00|2008-12-24 21:17:55.414|
|GRB081225257|15 36 24.0|-64 36 00|2008-12-25 06:09:21.343|
|GRB081226044|08 02 00.0|-69 00 00|2008-12-26 01:03:37.526|
|GRB081226156|12 52 00.0|+26 48 00|2008-12-26 03:44:52.415|
|GRB081226509|01 42 00.0|-47 24 00|2008-12-26 12:13:10.705|
|GRB081229187|11 30 24.0|+56 54 00|2008-12-29 04:29:01.880|
|GRB081229675|20 40 00.0|+22 48 00|2008-12-29 16:12:17.376|
|GRB081230871|13 50 24.0|-17 18 00|2008-12-30 20:53:40.937|
|GRB081231140|13 54 24.0|-35 48 00|2008-12-31 03:21:01.794|
|GRB090101758|05 11 12.0|-31 36 00|2009-01-01 18:11:41.917|
|GRB090102122|08 32 48.0|+33 06 00|2009-01-02 02:55:30.846|
|GRB090107681|18 59 12.0|+59 36 00|2009-01-07 16:20:42.766|
|GRB090108020|17 23 12.0|+46 00 00|2009-01-08 00:29:02.365|
|GRB090108322|00 01 36.0|-32 54 00|2009-01-08 07:43:23.360|
|GRB090109332|08 38 24.0|+51 48 00|2009-01-09 07:58:29.493|
|GRB090112332|07 23 36.0|-30 24 00|2009-01-12 07:57:23.111|
|GRB090112729|12 49 12.0|+25 24 00|2009-01-12 17:30:15.454|
|GRB090113778|02 08 24.0|+33 24 00|2009-01-13 18:40:40.842|
|GRB090117335|15 09 12.0|-41 30 00|2009-01-17 08:02:02.227|
|GRB090117632|08 06 24.0|-38 48 00|2009-01-17 15:10:40.176|
|GRB090117640|10 56 00.0|-58 12 00|2009-01-17 15:22:01.055|
|GRB090120627|02 32 24.0|-72 12 00|2009-01-20 15:02:22.759|
|GRB090126227|12 36 48.0|+34 06 00|2009-01-26 05:26:22.234|
|GRB090126245|14 59 36.0|+41 12 00|2009-01-26 05:52:33.735|
|GRB090129880|17 56 00.0|-32 48 00|2009-01-29 21:07:15.426|
|GRB090131090|23 29 12.0|+21 12 00|2009-01-31 02:09:21.149|
|GRB090202347|18 17 12.0|-02 00 00|2009-02-02 08:19:30.400|
|GRB090206620|10 24 48.0|+08 48 00|2009-02-06 14:52:42.171|
|GRB090207777|16 50 48.0|+34 54 00|2009-02-07 18:39:10.837|
|GRB090213236|22 02 24.0|-55 00 00|2009-02-13 05:39:25.459|
|GRB090217206|13 39 36.0|-08 24 00|2009-02-17 04:56:42.558|
|GRB090219074|01 46 00.0|+59 12 00|2009-02-19 01:46:18.149|
|GRB090222179|07 54 24.0|+45 00 00|2009-02-22 04:17:09.576|
|GRB090225009|23 52 48.0|+61 00 00|2009-02-25 00:12:23.978|
|GRB090227310|00 13 12.0|-43 00 00|2009-02-27 07:25:57.003|
|GRB090227772|00 47 12.0|+32 12 00|2009-02-27 18:31:01.407|
|GRB090228204|07 07 12.0|-24 18 00|2009-02-28 04:53:20.911|
|GRB090228976|23 50 24.0|+36 42 00|2009-02-28 23:25:01.023|
|GRB090301315|23 31 12.0|+09 30 00|2009-03-01 07:33:37.978|
|GRB090304216|13 03 36.0|-73 24 00|2009-03-04 05:10:48.157|
|GRB090305052|09 00 00.0|+74 18 00|2009-03-05 01:14:35.728|
|GRB090306245|09 08 00.0|+57 00 00|2009-03-06 05:52:05.345|
|GRB090307167|11 30 48.0|-23 54 00|2009-03-07 03:59:57.249|
|GRB090308734|01 27 36.0|-54 18 00|2009-03-08 17:36:24.699|
|GRB090309767|11 37 12.0|-49 30 00|2009-03-09 18:25:07.193|
|GRB090310189|12 19 36.0|-34 12 00|2009-03-10 04:32:49.902|
|GRB090316311|17 04 24.0|-38 54 00|2009-03-16 07:27:42.447|
|GRB090319622|18 53 12.0|-08 54 00|2009-03-19 14:55:35.222|
|GRB090320045|07 13 12.0|-43 18 00|2009-03-20 01:05:10.527|
|GRB090320418|15 52 00.0|-46 30 00|2009-03-20 10:01:46.011|
|GRB090320801|12 13 36.0|+49 48 00|2009-03-20 19:13:46.096|
|GRB090323002|12 42 48.0|+17 06 00|2009-03-23 00:02:42.627|
|GRB090326633|17 18 48.0|-07 24 00|2009-03-26 15:10:49.485|
|GRB090327404|02 12 24.0|-41 30 00|2009-03-27 09:41:41.520|
|GRB090328401|06 03 36.0|-42 00 00|2009-03-28 09:36:46.511|
|GRB090328713|10 22 48.0|+33 24 00|2009-03-28 17:07:04.937|
|GRB090330279|10 40 48.0|-08 12 00|2009-03-30 06:42:22.097|
|GRB090331681|14 02 00.0|+03 06 00|2009-03-31 16:20:20.385|
|GRB090403314|04 28 24.0|+47 12 00|2009-04-03 07:32:42.130|
|GRB090405663|14 47 36.0|-09 12 00|2009-04-05 15:54:41.341|
|GRB090409288|20 08 24.0|+01 06 00|2009-04-09 06:54:01.442|
|GRB090411838|10 24 00.0|-68 54 00|2009-04-11 20:06:36.889|
|GRB090411991|02 34 00.0|+05 06 00|2009-04-11 23:47:44.875|
|GRB090412061|00 05 12.0|-51 54 00|2009-04-12 01:28:05.253|
|GRB090413122|17 46 00.0|-09 12 00|2009-04-13 02:55:57.242|
|GRB090418816|17 31 12.0|-28 12 00|2009-04-18 19:35:24.918|
|GRB090419997|05 54 24.0|+31 18 00|2009-04-19 23:55:05.051|
|GRB090422150|19 38 48.0|+40 24 00|2009-04-22 03:35:17.067|
|GRB090423330|09 54 48.0|+18 06 00|2009-04-23 07:55:25.394|
|GRB090424592|12 38 00.0|+16 48 00|2009-04-24 14:12:08.665|
|GRB090425377|07 54 24.0|+68 06 00|2009-04-25 09:03:30.567|
|GRB090426066|01 10 24.0|-19 12 00|2009-04-26 01:35:35.225|
|GRB090426690|05 30 48.0|-09 42 00|2009-04-26 16:33:33.202|
|GRB090427644|14 00 00.0|-45 42 00|2009-04-27 15:27:00.856|
|GRB090427688|23 44 48.0|-34 36 00|2009-04-27 16:30:23.809|
|GRB090428441|14 00 24.0|+39 30 00|2009-04-28 10:34:38.463|
