theta,phi,time,NN,NP,NT,NB,PN,PP,PT,PB
13.00 ,241.09 ,1446.8893,0.812072956,1.103061223,3.79604585,1.182004253,0.020209236,0.020546431,0.031943631,0.026970001
140.41 ,160.25 ,333.3458,0.071984623,0.072582259,0.082583511,0.093682461,1.037776279,2.339768567,1.294857248,3.120354107
142.83 ,152.59 ,345.925,0.079615707,0.083235672,0.099678302,0.116485278,1.038024751,2.327319683,1.264378295,3.236189281
144.40 ,164.99 ,406.5629,0.0670712,0.071271275,0.068611228,0.080431439,0.973367415,2.063546919,1.482066516,3.244868054
145.40 ,144.93 ,357.2056,0.076953467,0.082462339,0.090167929,0.100263732,0.981671742,2.268095605,1.151240261,3.34522789
147.07 ,157.33 ,330.2419,0.072242613,0.072316481,0.084073757,0.096828247,0.990578203,2.067840154,1.404422006,3.360500326
13.62 ,326.08 ,1289.6048,1.09524162,0.810791733,3.751856964,1.185039194,0.018115257,0.019742036,0.02606945,0.019250219
14.22 ,51.06 ,852.4955,0.028891673,0.031118878,0.04855022,0.036212359,1.132603177,0.792079186,3.766538435,1.196419532
150.82 ,44.62 ,339.35,0.070842771,0.080667069,0.083422665,0.119053715,1.966129512,0.905500727,1.204135416,3.520273505
152.02 ,24.55 ,338.4149,0.18603611,0.077081542,0.070353727,0.087882089,1.806370378,0.963495248,1.446972882,3.499701443
154.08 ,36.95 ,364.6907,0.064582426,0.071583594,0.073177809,0.100379797,1.781105942,0.913273321,1.311180442,3.58237926
155.25 ,154.40 ,371.9934,0.071795883,0.069085367,0.077632236,0.094496454,0.913848255,1.668595784,1.369979994,3.561606985
157.76 ,29.29 ,366.4395,0.061666852,0.064939921,0.067669329,0.082825305,1.542891757,0.893803208,1.379560033,3.624719399
14.79 ,136.04 ,986.2697,0.02791623,0.033435993,0.061315123,0.036371072,0.753964947,1.179695706,3.748133183,1.220036555
15.34 ,221.03 ,1463.2473,0.775623125,1.219120942,3.758771465,1.250999215,0.018963585,0.019224768,0.029285888,0.024228932
14.51 ,273.55 ,1259.4305,1.032193206,1.015044973,3.790198526,1.079938381,0.022252027,0.022268169,0.038099293,0.028995751
160.37 ,41.69 ,353.0938,0.063467974,0.06894888,0.080647621,0.098402994,1.439497858,0.851279165,1.312135874,3.693347851
163.36 ,54.09 ,331.4714,0.067902464,0.068037386,0.084362924,0.103117055,1.278936042,0.855011735,1.297113689,3.719965845
163.87 ,139.07 ,350.6864,0.07055837,0.072795926,0.080076678,0.094614995,0.799097308,1.269494171,1.301840187,3.727756595
164.66 ,86.55 ,369.6383,0.067402702,0.069272555,0.082427521,0.101302038,1.072558698,1.040969181,1.134824804,3.740234022
166.08 ,119.01 ,358.7443,0.066276241,0.068078212,0.080952666,0.096853071,0.83646555,1.148614407,1.236956285,3.759975378
167.00 ,66.49 ,389.8106,0.061828693,0.061275906,0.070662853,0.086558084,1.080364627,0.864809026,1.195187852,3.753464754
168.70 ,98.95 ,390.7248,0.058302229,0.060851586,0.067323831,0.084076747,0.880610272,0.969307078,1.043665052,3.77119588
15.87 ,306.01 ,1114.1535,1.230971585,0.848990591,3.786128378,1.272465952,0.01934044,0.022712245,0.029623716,0.021650346
16.39 ,31.00 ,841.2242,0.028693981,0.034392179,0.046818022,0.033870207,1.214982516,0.807960062,3.707212084,1.220236071
15.61 ,83.52 ,807.8863,0.032993183,0.034744499,0.058699281,0.042273145,1.079188096,1.007409303,3.76503752,1.09490968
16.89 ,115.98 ,715.8254,0.039366274,0.049447811,0.067316272,0.044279248,0.869091007,1.273465734,3.771142502,1.241136657
17.37 ,200.97 ,1935.3783,0.806353613,1.234141488,3.664497937,1.27970626,0.014558039,0.015591597,0.023093294,0.018215405
16.64 ,253.49 ,1131.9074,0.9506259,1.224770723,3.782018977,1.24271228,0.024794907,0.025204384,0.044370779,0.032298393
17.13 ,338.47 ,506.3528,1.20843855,0.850054965,3.688410559,1.283119863,0.621578806,0.35125349,0.177216563,0.055707875
18.08 ,148.44 ,1037.1575,0.028769194,0.028557511,0.055672447,0.034214133,0.800798093,1.316369956,3.69615735,1.255640654
17.85 ,285.95 ,1129.8068,1.25344348,1.013734776,3.780352947,1.278770296,0.023423166,0.026485559,0.045486069,0.03295221
17.61 ,63.46 ,759.881,0.0342482,0.038100521,0.061332155,0.045382477,1.283400618,0.898050845,3.755188646,1.258949083
18.54 ,233.43 ,1270.1702,0.833568434,1.398404386,3.756886811,1.293993871,0.024218092,0.02393001,0.040011387,0.030623115
18.98 ,318.41 ,1036.689,1.397303215,0.85837926,3.748623054,1.307093643,0.021640571,0.023997582,0.029605776,0.023726976
