theta,phi,require time (s),NN,NP,NT,NB,PN,PP,PT,PB
28.13,145.52,964.02,0.135595088,0.118252952,0.209682952,0.141077767,2.121847403,4.233986248,7.430388136,2.771958181
27.67,198.04,2203.06,2.098431824,3.869783807,7.242722126,3.348448808,0.051485183,0.054908547,0.070554521,0.055375453
28.43,230.5,1029.32,2.168201783,4.422049051,7.566817919,2.807570629,0.109889916,0.107753025,0.187212981,0.131207477
27.98,283.02,933.05,3.898555014,3.154240301,7.612799377,3.254208501,0.107528345,0.130021407,0.220843358,0.155216078
27.52,335.55,378.7,4.017336315,2.347231499,7.44485064,3.256512219,1.223865332,0.44664745,0.286499384,0.203918508
27.83,60.53,638.08,0.155171819,0.187476715,0.2927894,0.207069921,4.153619482,2.445123782,7.550558908,2.856466415
29.32,125.45,699.34,0.16174091,0.168699821,0.289134913,0.219429529,2.240850808,4.432867152,7.500933099,2.711667372
29.18,262.96,1154.4,3.338295434,3.958501611,7.527084674,3.318262766,0.101772854,0.099201855,0.181121659,0.089579976
28.73,315.49,640.93,4.370954472,2.269486599,7.574500094,2.845635985,0.131264828,0.140856111,0.169097111,0.155382591
29.03,40.47,554.1,0.166238113,0.1812286,0.250435781,0.205537696,4.323056771,2.18528717,7.45601712,2.720652259
28.58,92.99,528.45,0.183485516,0.194164282,0.329072182,0.255044021,3.381237448,3.665063359,7.463518973,3.106274605
30.47,105.39,545.13,0.184255428,0.196643538,0.337879929,0.2567792,3.018179239,4.234086067,7.436267155,3.102598879
30.05,157.91,1258.83,0.090623456,0.089858006,0.145584052,0.092503168,2.161459374,4.183975056,7.178082446,3.026569573
29.61,210.44,1894.37,2.194161601,4.394746785,7.367117141,2.954031055,0.05831447,0.060128011,0.077392064,0.061739809
30.33,242.9,825.39,2.573614471,4.537361366,7.520585226,2.992646906,0.126317081,0.121622799,0.20117931,0.180988477
29.9,295.42,884.89,4.375597265,2.777458398,7.55406639,3.072499632,0.102082475,0.112544344,0.144467516,0.114552177
29.76,72.93,502.54,0.181837689,0.195210963,0.329688008,0.255572726,4.112407069,2.984958382,7.45653453,3.061492665
31.17,137.85,865.05,0.134287301,0.126913062,0.236356366,0.162736169,2.115814591,4.637508462,7.365140549,2.586727239
